"County","Sector","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"DEL NORTE","Residential","     116.039207","     110.032042","     126.485128","     127.709649","     132.159429","     133.494780","     132.948836","     136.508596","     133.579670","     127.833022","     122.831577","     121.909010","     121.608702","     117.067626","     114.904332","     113.613677","     112.136921","     110.065812","     107.696817","     139.830574","     106.566610","     110.776041","     116.229421","     106.383258","     104.812778","      90.982237","    3094.205752"
"DEL NORTE","Total","     211.123640","     202.668806","     225.492410","     227.584459","     237.872631","     241.596812","     241.312745","     249.762793","     255.241891","     236.502674","     229.723934","     234.680946","     220.295903","     217.287103","     220.118843","     236.487557","     221.369652","     217.618846","     213.615931","     247.710327","     209.553691","     214.387384","     221.550379","     211.793326","     211.411099","     192.650044","    5849.413826"
"EL DORADO","Non-Residential","     448.049228","     471.162845","     487.431796","     489.961173","     480.793584","     476.570951","     498.177835","     514.861884","     514.803871","     519.531014","     475.157304","     442.116187","     419.717806","     458.928107","     478.336821","     474.338387","     403.798144","     438.555331","     423.822846","     422.535900","     398.007576","     369.031987","     369.163780","     363.447253","     342.454657","     352.182173","   11532.938440"
"EL DORADO","Residential","     735.753277","     720.282618","     756.488582","     765.396540","     763.368649","     764.059072","     770.742822","     771.923087","     760.942287","     760.388039","     732.166527","     723.441580","     689.564343","     665.949060","     635.372506","     659.096517","     639.520156","     634.836362","     591.638586","     576.954082","     558.651068","     548.553618","     550.149822","     529.892679","     539.328355","     524.585004","   17369.045238"
"EL DORADO","Total","    1183.802506","    1191.445463","    1243.920378","    1255.357713","    1244.162233","    1240.630023","    1268.920657","    1286.784971","    1275.746158","    1279.919053","    1207.323831","    1165.557767","    1109.282148","    1124.877168","    1113.709327","    1133.434904","    1043.318300","    1073.391692","    1015.461433","     999.489981","     956.658644","     917.585605","     919.313603","     893.339931","     881.783012","     876.767177","   28901.983678"
"FRESNO","Non-Residential","    4958.371346","    4984.196319","    4821.212914","    4674.392308","    4290.611685","    4352.655152","    4457.050492","    4564.992325","    4583.621201","    4022.085056","    3966.086528","    4212.548650","    3977.363014","    4204.094925","    4107.525754","    4114.439441","    3392.920900","    3647.841613","    3841.740273","    3657.816323","    3540.037513","    3675.529637","    3454.815738","    3662.958348","    3431.774323","    3257.075644","  105853.757422"
"FRESNO","Residential","    2728.919096","    2693.435681","    2690.334572","    2707.635597","    2592.961186","    2548.597268","    2617.918456","    2553.121710","    2523.460769","    2490.824983","    2377.581940","    2351.542830","    2299.343549","    2157.196519","    2082.567972","    2280.807065","    2085.695031","    2053.585383","    2033.819526","    2015.179260","    1895.082375","    1874.339769","    1832.378756","    1865.168616","    1840.839026","    1785.877540","   58978.214475"
"FRESNO","Total","    7687.290442","    7677.632000","    7511.547485","    7382.027905","    6883.572871","    6901.252420","    7074.968948","    7118.114035","    7107.081970","    6512.910039","    6343.668468","    6564.091480","    6276.706563","    6361.291444","    6190.093726","    6395.246506","    5478.615931","    5701.426996","    5875.559798","    5672.995583","    5435.119888","    5549.869406","    5287.194494","    5528.126964","    5272.613349","    5042.953184","  164831.971895"
"GLENN","Non-Residential","     292.694868","     292.714032","     258.743943","     214.004783","     203.347599","     206.313004","     211.195769","     237.650530","     260.608490","     288.622544","     271.772011","     329.805802","     271.842726","     401.663116","     305.576004","     275.703534","     249.645812","     266.001717","     287.313489","     257.774030","     285.279977","     225.332979","     219.644395","     221.887668","     220.841250","     325.951850","    6881.931922"
"GLENN","Residential","      92.593195","      91.346984","      92.809578","      93.759058","      91.869869","      91.108182","      93.564217","      92.113824","      91.026008","      91.707986","      89.340351","      87.466814","      85.006112","      83.136313","      79.871763","      85.039992","      83.094313","      82.054410","      80.814743","      81.231995","      77.634517","      77.620997","      76.907618","      78.464810","      79.317239","      78.498601","    2227.399489"
"GLENN","Total","     385.288063","     384.061016","     351.553521","     307.763841","     295.217468","     297.421185","     304.759986","     329.764355","     351.634498","     380.330529","     361.112361","     417.272615","     356.848838","     484.799429","     385.447767","     360.743525","     332.740124","     348.056127","     368.128232","     339.006026","     362.914494","     302.953975","     296.552012","     300.352478","     300.158489","     404.450451","    9109.331405"
"HUMBOLDT","Non-Residential","     431.270309","     445.909803","     450.082624","     434.844749","     439.830070","     448.589008","     446.001959","     570.947569","     629.248723","     641.748511","     602.266594","     623.608899","     602.117424","     648.368612","     668.768756","     828.511048","     747.226360","     817.112811","     753.042136","     772.484699","     818.834965","     812.165610","     762.851136","     734.600335","     758.348590","     731.030954","   16619.812254"
"HUMBOLDT","Residential","     398.373422","     394.023175","     441.062652","     465.526229","     476.205940","     478.940630","     462.053541","     440.327250","     416.862809","     380.951425","     359.086993","     337.982138","     315.507255","     308.845124","     296.911963","     310.708775","     307.497985","     294.940634","     287.670931","     279.051340","     282.061741","     273.032342","     278.614872","     269.871863","     277.481786","     276.637302","    9110.230117"
"HUMBOLDT","Total","     829.643731","     839.932978","     891.145276","     900.370978","     916.036009","     927.529638","     908.055500","    1011.274819","    1046.111532","    1022.699935","     961.353587","     961.591037","     917.624679","     957.213736","     965.680719","    1139.219822","    1054.724344","    1112.053444","    1040.713067","    1051.536039","    1100.896706","    1085.197952","    1041.466008","    1004.472197","    1035.830376","    1007.668256","   25730.042365"
"IMPERIAL","Non-Residential","     812.105057","     912.673807","     927.613737","     934.636599","     921.793697","     901.441073","     919.406310","     968.229559","     884.700156","     883.484790","     990.515544","     902.086417","     892.277292","     797.770345","     862.099948","     687.053328","     556.498286","     616.290913","     810.547526","     819.662219","     810.647418","     794.829954","     763.817976","     686.739407","     644.296614","     640.938293","   21342.156265"
"IMPERIAL","Residential","     591.192316","     545.010104","     536.872089","     545.087322","     518.295112","     501.741546","     517.651423","     503.865983","     522.305936","     511.409092","     520.689618","     532.877758","     485.155762","     488.375898","     499.078446","     401.067048","     403.552586","     367.229815","     350.996039","     330.261908","     304.076615","     310.161299","      67.399539","      67.375904","      77.573168","     136.984365","   10636.286691"
"IMPERIAL","Total","    1403.297372","    1457.683911","    1464.485826","    1479.723922","    1440.088810","    1403.182619","    1437.057733","    1472.095543","    1407.006092","    1394.893882","    1511.205162","    1434.964175","    1377.433054","    1286.146243","    1361.178393","    1088.120376","     960.050872","     983.520728","    1161.543564","    1149.924127","    1114.724033","    1104.991253","     831.217514","     754.115311","     721.869782","     777.922658","   31978.442955"
"INYO","Non-Residential","     108.351732","     154.001837","     173.009172","     179.582711","     179.923484","     172.168840","     173.130685","     156.044228","     159.547632","     166.417681","     165.692046","     175.853978","     165.563484","     174.035910","     172.518465","     179.985939","      65.491103","      60.115457","      60.496685","      58.761216","      54.044894","      49.959156","      46.434196","      45.375623","      50.120816","      57.256892","    3203.883862"
"INYO","Residential","      45.943262","      60.948174","      60.275490","      60.893717","      57.696261","      57.636539","      58.233820","      54.851280","      56.797437","      52.928638","      56.395948","      57.015547","      49.435341","      49.334046","      48.276936","      50.570005","      32.928249","      33.778605","      32.764011","      32.911372","      31.733539","      32.704783","      32.482845","      32.188117","      32.581660","      32.221356","    1203.526978"
"INYO","Total","     154.294995","     214.950011","     233.284662","     240.476428","     237.619745","     229.805379","     231.364505","     210.895508","     216.345068","     219.346319","     222.087994","     232.869525","     214.998826","     223.369955","     220.795401","     230.555944","      98.419352","      93.894062","      93.260696","      91.672588","      85.778432","      82.663938","      78.917041","      77.563740","      82.702477","      89.478248","    4407.410839"
