County,Sector,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Total Usage
MONTEREY,Non-Residential,55.643567,53.346086,54.017905,52.855128,53.539139,50.483888,49.811742,52.522323,52.306199,51.116961,35.906607,40.136331,52.62481,47.817489,38.524576,65.918494,86.614939,69.253693,71.829516,63.125132,63.31375,69.471731,72.128539,76.194058,89.642062,90.167396,1558.312061
MONTEREY,Residential,46.820736,46.70745,57.656584,56.961907,57.819404,58.015441,57.764077,59.124174,59.494954,57.572406,55.646468,58.094742,56.842933,36.104446,46.605036,62.553416,70.962683,65.225264,57.61048,57.396147,56.660479,66.435391,63.155559,61.212868,69.780456,64.352297,1506.575798
MONTEREY,Total,102.464303,100.053536,111.674489,109.817035,111.358543,108.499329,107.575819,111.646497,111.801153,108.689367,91.553075,98.231073,109.467743,83.921935,85.129612,128.47191,157.577622,134.478957,129.439996,120.521279,119.974229,135.907122,135.284098,137.406926,159.422518,154.519693,3064.887859
NAPA,Non-Residential,16.262142,16.404718,18.512238,19.015497,18.512531,17.418092,16.638273,16.701348,16.721339,16.033335,17.799732,23.032413,25.040613,21.155374,23.636929,15.738564,18.169492,22.976465,18.752584,12.957171,11.876458,13.378632,12.796928,12.593495,16.245814,16.814793,455.18497
NAPA,Residential,18.423409,18.568666,22.609452,22.135337,23.656281,22.752268,22.7199,21.936376,21.908589,22.078897,21.467741,21.54005,22.670393,13.463514,16.996019,23.439524,26.145908,25.283766,21.389691,21.377165,21.423554,25.099862,25.112973,23.334536,23.795402,23.095671,572.424944
NAPA,Total,34.685551,34.973384,41.12169,41.150834,42.168812,40.17036,39.358173,38.637724,38.629928,38.112232,39.267473,44.572463,47.711006,34.618888,40.632948,39.178088,44.3154,48.260231,40.142275,34.334336,33.300012,38.478494,37.909901,35.928031,40.041216,39.910464,1027.609914
NEVADA,Non-Residential,5.47784,5.325371,6.085481,5.483097,6.035041,5.705307,6.130955,6.535532,4.948981,3.37726,4.176202,3.460271,6.001014,3.221373,3.64992,2.912622,3.053434,3.099131,2.503061,2.330808,2.31245,2.544083,2.457192,2.017748,2.580192,2.413759,103.838125
NEVADA,Residential,11.674342,11.311529,13.163866,12.550058,14.141069,13.255661,12.758418,13.071993,12.341271,6.297956,5.725716,6.027342,7.077542,3.397948,4.365562,6.149776,6.338513,6.563588,5.142596,4.885067,4.75575,5.246701,4.979005,4.176969,4.306818,3.842965,203.548021
NEVADA,Total,17.152182,16.6369,19.249347,18.033155,20.17611,18.960968,18.889373,19.607525,17.290252,9.675216,9.901918,9.487613,13.078556,6.619321,8.015482,9.062398,9.391947,9.662719,7.645657,7.215875,7.0682,7.790784,7.436197,6.194717,6.88701,6.256724,307.386146
ORANGE,Non-Residential,233.788529,231.049307,243.376705,228.00625,231.260875,235.510806,228.866178,238.561946,251.370505,252.057651,285.379882,280.968485,303.728002,380.971054,316.44601,223.097349,233.63714,215.00939,171.712395,162.63381,140.936381,148.417663,138.640778,95.408385,131.936638,153.620321,5756.392435
