"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"NEVADA","Residential","      14.932247","      13.105233","      14.252984","      12.894977","      11.674049","      11.311242","      13.192459","      12.572867","      14.167891","      13.276597","      12.781606","      13.092664","      12.442316","       5.984929","       5.904068","       6.137240","       6.050903","       6.172536","       5.825579","       6.191007","       6.332815","       6.489629","       5.136862","       4.863043","       4.738908","       5.174772","       4.974190","       4.172576","       4.306807","       3.826668","     261.979664"
"NEVADA","Total","      21.323491","      18.844219","      20.515696","      18.786564","      17.151831","      16.647758","      19.249014","      18.080170","      20.092518","      18.911075","      19.005168","      19.744782","      17.261732","       9.192175","       9.088803","       9.479110","       9.051179","       9.240731","       8.679033","       9.237375","       9.562238","       9.770363","       7.871507","       7.314956","       7.176768","       7.945362","       7.686082","       6.441661","       6.932022","       6.187822","     386.471205"
"ORANGE","Non-Residential","     241.010480","     236.073479","     232.285127","     232.223485","     227.551930","     225.550853","     237.982223","     230.824950","     231.579575","     230.716798","     224.623084","     236.732544","     245.564703","     238.931182","     243.072489","     245.964337","     234.456163","     238.437151","     236.068168","     248.603852","     257.921158","     247.877472","     218.677701","     226.103445","     214.950448","     209.308134","     212.337082","     193.665177","     211.712319","     212.826481","    6923.631990"
"ORANGE","Residential","     382.135884","     339.030950","     343.737901","     337.827012","     316.917643","     319.182227","     398.302918","     381.864899","     407.996650","     404.986259","     386.618286","     396.200047","     401.224534","     397.224804","     387.081232","     416.014542","     392.302678","     417.174665","     422.554634","     426.274734","     478.499821","     450.326469","     396.614652","     403.726927","     397.460559","     430.513427","     414.373342","     423.464433","     433.331634","     431.893804","   11934.857567"
"ORANGE","Total","     623.146364","     575.104429","     576.023027","     570.050497","     544.469573","     544.733080","     636.285140","     612.689849","     639.576224","     635.703057","     611.241370","     632.932591","     646.789237","     636.155986","     630.153721","     661.978878","     626.758841","     655.611816","     658.622802","     674.878586","     736.420979","     698.203941","     615.292353","     629.830372","     612.411007","     639.821561","     626.710425","     617.129610","     645.043953","     644.720284","   18858.489553"
"PLACER","Non-Residential","      29.690236","      28.746570","      28.769978","      26.989047","      25.405577","      24.737927","      28.055814","      27.210816","      29.119605","      29.744310","      30.352841","      31.469978","      45.383065","      47.547888","      39.193099","      40.408262","      36.065894","      41.856044","      50.465779","      38.336951","      30.312728","      29.633481","      26.208149","      22.273599","      20.895248","      21.079439","      22.378915","      19.565193","      21.829013","      21.675325","     915.400771"
"PLACER","Residential","      66.234982","      62.184773","      63.464633","      57.074186","      53.365536","      50.980638","      62.167549","      60.001764","      65.306686","      61.803237","      60.538597","      59.596496","      62.202351","      67.386400","      66.585826","      69.232328","      66.084381","      66.386803","      61.991019","      56.901849","      39.740212","      36.556419","      29.791270","      28.562757","      26.401474","      37.243680","      35.863827","      30.667723","      32.389274","      31.528075","    1568.234745"
"PLACER","Total","      95.925218","      90.931343","      92.234611","      84.063233","      78.771113","      75.718565","      90.223363","      87.212580","      94.426291","      91.547547","      90.891438","      91.066474","     107.585416","     114.934289","     105.778925","     109.640590","     102.150275","     108.242847","     112.456798","      95.238801","      70.052940","      66.189900","      55.999419","      50.836356","      47.296722","      58.323119","      58.242742","      50.232916","      54.218288","      53.203400","    2483.635519"
"RIVERSIDE","Non-Residential","     148.215491","     139.190918","     139.166211","     143.274204","     128.307248","     123.412690","     129.429348","     130.238045","     135.786993","     131.168336","     126.493788","     140.089346","     141.566091","     134.132004","     136.129600","     137.533799","     131.444413","     136.501841","     132.565427","     143.565033","     144.287072","     137.461118","     128.312948","     122.573990","     109.597928","     131.289794","     130.919188","     130.629507","     127.428833","     131.613711","    4002.324915"
"RIVERSIDE","Residential","     304.776599","     259.344553","     254.262566","     252.688320","     224.847393","     207.343920","     253.762522","     243.237930","     269.459274","     267.323965","     258.021804","     272.718655","     266.215028","     263.561182","     256.830858","     276.028293","     260.295321","     276.798042","     280.367686","     231.789232","     245.426167","     243.030405","     209.360635","     204.664087","     205.959932","     223.087621","     217.086186","     212.561010","     217.513961","     207.699271","    7366.062418"
"RIVERSIDE","Total","     452.992090","     398.535471","     393.428777","     395.962524","     353.154641","     330.756610","     383.191870","     373.475975","     405.246267","     398.492302","     384.515591","     412.808001","     407.781119","     397.693187","     392.960458","     413.562092","     391.739734","     413.299883","     412.933113","     375.354265","     389.713239","     380.491523","     337.673583","     327.238077","     315.557860","     354.377415","     348.005374","     343.190517","     344.942794","     339.312982","   11368.387334"
"SACRAMENTO","Non-Residential","     112.001868","     110.946285","     109.925151","     105.200835","     102.835605","     100.810185","     106.501165","     104.068685","     108.186202","     103.831950","     103.266500","     104.507329","     107.089393","     114.848372","     120.335105","     131.526317","     113.233073","     112.868666","     118.547901","      99.199649","     102.365010","     106.611388","     103.026703","     128.003093","     126.615538","     139.489546","     127.852703","     131.341302","     138.262407","     140.179861","    3433.477787"
"SACRAMENTO","Residential","     199.788073","     194.345859","     198.851836","     182.459477","     176.512509","     172.911259","     210.432315","     205.339138","     221.166298","     211.426517","     211.976860","     207.398327","     208.381584","     206.504925","     203.714886","     211.760309","     208.781301","     212.978171","     201.006688","     207.916720","     226.755065","     218.663211","     189.402335","     189.603286","     187.791786","     207.572480","     205.746482","     188.439699","     204.645671","     194.414105","    6066.687172"
"SACRAMENTO","Total","     311.789941","     305.292144","     308.776987","     287.660312","     279.348114","     273.721444","     316.933480","     309.407823","     329.352500","     315.258467","     315.243360","     311.905656","     315.470977","     321.353297","     324.049991","     343.286626","     322.014374","     325.846837","     319.554589","     307.116369","     329.120075","     325.274600","     292.429038","     317.606379","     314.407324","     347.062027","     333.599184","     319.781001","     342.908077","     334.593966","    9500.164959"
"SAN BENITO","Non-Residential","       8.788887","       7.522166","       6.988275","       7.413759","       7.139082","       6.647884","       6.662619","       6.911560","       6.570531","       6.400663","       6.428014","       6.676206","       6.687161","       7.224109","       6.611314","       8.391053","       6.767477","       4.077144","       4.140698","      10.776420","      10.781229","      10.098611","       8.986396","      10.039619","       8.652612","       8.125903","       8.525716","       7.704570","      11.347585","      11.959255","     235.046518"
"SAN BENITO","Residential","       6.910951","       6.305243","       6.399008","       5.899782","       5.773532","       5.520175","       6.946537","       6.671058","       6.857968","       6.772885","       6.641150","       6.736600","       6.693379","       6.633099","       6.543481","       6.801907","       6.706218","       6.841025","       6.456492","       7.174264","       7.726998","       6.957450","       5.776373","       5.493299","       5.198282","       5.948740","       5.433239","       4.893723","       5.405677","       5.016936","     189.135471"
"SAN BENITO","Total","      15.699838","      13.827409","      13.387283","      13.313541","      12.912614","      12.168059","      13.609156","      13.582618","      13.428499","      13.173548","      13.069164","      13.412806","      13.380540","      13.857209","      13.154795","      15.192959","      13.473696","      10.918169","      10.597190","      17.950684","      18.508227","      17.056061","      14.762769","      15.532917","      13.850895","      14.074643","      13.958955","      12.598293","      16.753261","      16.976191","     424.181989"
"SAN BERNARDINO","Non-Residential","     272.238232","     268.588761","     257.879077","     259.752692","     245.499027","     238.061850","     239.507329","     236.105925","     232.862254","     223.558878","     204.742924","     240.437407","     245.691331","     252.781036","     238.902345","     258.936490","     247.509970","     269.654250","     263.881735","     303.365714","     309.506384","     310.719289","     294.800444","     302.014246","     272.312344","     304.959526","     246.771428","     236.102075","     259.325392","     270.000226","    7806.468581"
"SAN BERNARDINO","Residential","     275.034031","     231.468146","     235.261401","     234.628679","     223.939116","     213.697168","     263.153408","     249.594701","     271.052490","     268.985923","     256.182273","     259.227642","     261.618048","     261.628113","     254.438059","     274.985393","     251.359374","     260.667104","     262.343108","     259.375930","     273.852895","     281.228040","     248.524873","     246.494957","     248.016129","     265.271779","     257.896023","     255.561492","     262.134697","     268.320412","    7675.941404"
"SAN BERNARDINO","Total","     547.272263","     500.056907","     493.140478","     494.381371","     469.438143","     451.759018","     502.660737","     485.700626","     503.914744","     492.544801","     460.925197","     499.665050","     507.309379","     514.409149","     493.340404","     533.921883","     498.869344","     530.321354","     526.224842","     562.741644","     583.359279","     591.947329","     543.325317","     548.509203","     520.328473","     570.231305","     504.667451","     491.663567","     521.460090","     538.320638","   15482.409986"
"SAN DIEGO","Non-Residential","     230.140620","     217.997747","     207.039455","     203.800184","     197.132891","     194.443844","     209.336654","     203.521435","     201.909404","     218.347663","     206.135681","     216.672990","     215.112957","     218.678297","     219.673683","     224.771141","     225.361018","     219.504841","     214.840633","     200.934898","     203.469145","     197.886280","     194.152753","     191.728335","     198.485027","     195.543559","     172.741776","     186.215142","     170.782282","     180.590580","    6136.950915"
